Titulo,Autor,Estilo,Entregue a,Dedicatória
Guardados,Inaldo Tenório de M. Cavalcanti:,Livros de amigos,,
Paisagem da janela,Inaldo Tenório de M. Cavalcanti:,Livros de amigos,,
O colecionador de cavalos,Inaldo Tenório de M. Cavalcanti:,Livros de amigos,,
Meu pai e outros contos,Inaldo Tenório de M. Cavalcanti:,Livros de amigos,,
Garimpando pensamentos pelas ruas de minha cidade,Araquém de Melo:,Livros de amigos,,
Um detalhe em H,Fernando Mendonça:,Livros de amigos,,
Antologia Capunga 90 anos  Fernando Mendonça/Leny Amorim,Fernando Mendonça:,Livros de amigos,,
Ange Pitou tome I,,Francês,,
Ange Pitou tome II,,Francês,,
La Tulipe noire  ,Alexandre Dumas,Francês,,
Le Conte de montecristo ,Alexandre Dumas,Francês,,
Carmen  ,Prosper Mérimée,Francês,,
Drácula  ,Bram Stoker,Francês,,
La Bataille ,Claude Farr?re,Francês,,
La chartreuse de Parme  ,Stendhal,Francês,,
La Comtesse de Charny tome I,,Francês,,
La Comtesse de Charny tome II,,Francês,,
La Comtesse de Charny tome III,,Francês,,
La Comtesse de Charny tome IV,,Francês,,
La Comtesse de Charny tome V,,Francês,,
La Comtesse de Charny tome VI,,Francês,,
Le Collier de la Reine tome I,,Francês,,
Le Collier de la Reine tome II,,Francês,,
Le Collier de la Reine tome III,,Francês,,
La Condition Humaine  ,André Malraux,Francês,,
L'Education Sentimental e  ,Gustave Flaubert,Francês,,
Le Père Goriot  ,Honoré de Balzac,Francês,,
Le grand Meaulnes  ,AlainFournier,Francês,,
Les aventures de TinTin Aí pays des soviets ,Hergé,Francês,,
Les aventures de TinTin  TinTin au Congo  ,Hergé,Francês,,
Les aventures de TinTin  L'oreille Cassée  ,Hergé,Francês,,
Les aventures de TinTin  Le Lotus Bleu  ,Hergé,Francês,,
Les Cigares du Pharaon Les aventures de TinTin,,Francês,,
Les Mis?rables  ,Victor Hugo,Francês,,
L'omme Qui Assassina ,Claude Farrère,Francês,,
La Marie Du Port,Georges simenon,Francês,,
Les vens d'en face  ,Georges Simenon,Francês,,
La vie amoureuse de la Marquise de Païva ,Anne  Mariel,Francês,,
Madame Bovary  ,Gustave Flaubert,Francês,,
NotreDame de Paris  ,Victor Hugo,Francês,,
TinTin et les picaros ,Hergé,Francês,,
Petite Histoire des Expressions  . ,Gilles Henry, Marianne Tillier etc,Francês,,
L'art D'Herge  El creador de Tintín    Vol. l  1907/1937,Philippe  Goddin,Francês,,
Paul et Virginie  ,Bernardin de Saint Pierre,Francês,,
Germinal  ,?mile Zola,Francês,,
20.000 Lieues Sous les mers  ,Júlio Verne ,Francês,,
Le rouge et le noir  ,Stendhal ,Francês,,
La poupée sanglante  ,Gaston Leroux ,Francês,,
Vous avez la parole  1.000 expressões para falar Francês como um nativo , Martins Fonte,Francês,,
Le tour du Monde en 80 jours  ,Júlio Verne ,Francês,,
Gramática da língua francês Bescherelle  La grammaire pour tous  ,Nouvelle Édition,Francês,,
Dicionário  Larousse português /francês / francês/português ,,Francês,,
Cozinha Geek   ,Jeff PotterAmanda,Culinária,,
D.O.M  Redescobrindo ingredientes brasileiros ,Alex Atala,Culinária,,
O livro essencial da cozinha asiática ,H.F.  Ullmann,Culinária,,
Técnicas de confeitaria profissional,Mariana Sebess,Culinária,,
Guten appetit! A nova cozinha alemã  ,Sabine Hueck.,Culinária,,
150 Técnicas para dominar a arte culinária  ,Mark William Allison.,Culinária,,
Sobremesas e suas técnicas ,Le Gordon Bleu,Culinária,,
Escoffianas brasileiras    ,Alex Atala Com Carolina Chagas.,Culinária,,
La cocina austríaca  Los mejores platos y dulces ,Krenn,Culinária,,
Sorvetes e sorbets, a grande cozinha,,Culinária,,
Comida & cozinha  Ciência e cultura da culinária ,Harold McGee.,Culinária,,
O poder medicinal dos sucos e shakes  ,Dr. Jorge Pamplona,Culinária,,
Cozinha alemã  ,Heiko Grabolle.,Culinária,,
Dicionário do doceiro brasileiro  ,Dr. Antônio José de Souza Rego.,Culinária,,
Palmirinha  100 receitas preferidas,,Culinária,,
Sushi para leigos  ,Judi Strada e Mineko Takane Moreno.,Culinária,,
Finger Food sabor e sofisticação em miniporco?s ,André Leite,Culinária,,
Um químico na cozinha a ciência da gastronomia molecular ,Raphael Haumont.,Culinária,,
Especiarias  Uma janela para o mundo. ,,Culinária,,
Fundamentos da composição musical ,Arnold Schoenberg,Música,,
Harmonia  ,Arnold Schoenberg,Música,,
Arranjando frevo de rua  ,Marcos Ferreira Mendes,Música,,
Uma breve história da música cadernos de música da Universidade de Cambridge  ,Roy Bennett,Música,,
Notas musicais   do barroco ao jazz.,Arthur Nestrovski,Música,,
Solfejo   Musimed,Bohumil Med,Música,,
Ritmo ,Bohumil Med,Música,,
Teoria da música Edição revista e ampliada,Bohumil Med,Música,,
O dia do Chacal  ,Frederick Forsyth.,,,
A cidade antiga  ,Fustel de Coulanges.,,,
Auto da barca do inferno  ,Gil Vicente.,,,
O mínimo que você precisa saber para não ser um idiota  ,Olavo de Carvalho.,,,
A carta roubada e outras histórias de crime & mistério  ,Edgar Allan Poe.,,,
A utopia  ,Thomas More.,,,
A dama das camélias    adaptação de Carlos Heitor Conta.,Alexandre Dumas,,,
Marília de Dirceu & cartas chilenas ,,,,
Tomás Antônio Gonzaga.,,,,
O sol é para todos  ,Harper Lee.,,,
Livro dos primeiros socorros  DoIn,,,,
Ansiedade 2  ,Augusto Cury.,,,
Moby Dick  ,Herman Melville.,,,
Academia pernambucana de Letras Fátima Quintas.,,,,
Auto da compadecida ,Ariano Suassuna,,,
Um mês para viver  ,Kerry & Chris Shook.,,,
Lições preliminares de direito  ,Miguel Reale,,,
Manual de direito Civil  Flávio Tartuce.,,,,
Instituições de direito Civil    Vol. I,Caio Mário da Silva Pereira,,,
Instituições de direito Civil    Vol. II,Caio Mário da Silva Pereira,,,
Instituições de direito Civil    Vol. III,Caio Mário da Silva Pereira,,,x
Instituições de direito Civil    Vol. IV,Caio Mário da Silva Pereira,,,x
Instituições de direito Civil    Vol. V,Caio Mário da Silva Pereira,,,
Instituições de direito Civil    Vol. VI,Caio Mário da Silva Pereira,,,x
Novo código de processo Civil estudo comparativo com o código de 1973,Fredie Didier Jr. / Ravi Peixoto.,,,
Manual de direito administrativo  ,Alexandre Mazza.,,,x
Manual de direito tributário  ,Eduardo Sabbag. ,,,
Uma introdução à ciência das finanças  ,Aliomar Baleeiro ,,,
Direito econômico esquematizado ,Fabiano del Masso,,,x
A nova lei de falências e de recuperação de empresas lei n° 11.101/05  ,Paulo Penalva Santos.,,,
Resumo de direito comercial empresarial  . ,Maximilianus Cláudio Américo Führer,,,
